Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Не работает ноутбук,Добрый день! Устройство C223013256 внезапно перестало работать.,Материнская плата,C223013256,Ноутбук
СР2-5422,Обнаружены проблемы с вентилятором системы охлаждения,Материнская плата,D251110010,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Не включается SILA LLC HK2-3404,"Доброго дня! Прошу допомогти з виявленням причини, чому цей ноутбук не включається. Він має серійний номер C223094534.",Материнская плата,C223094534,Ноутбук
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта сервера с серийным номером D252030012.",Сервер,D252030012,Сервер
СИЛА CX-1015-12 // HDD fault // E213120001,"Вышел из строя диск, пришедший на замену по гарантии.",Диск,E213120001,СХД
HK2-1404,"Доброго дня,

прошу організувати забір та обробку вашого пристрою...",Корпус,C223010327,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
гарантийный ремонт,"Добрый день! Ноутбук HK2-1404, серийный номер C223013450. Отпала клавиша.",Клавиатура,C223013450,Ноутбук
Обновление программного обеспечения для сервера,"Добрый день! У нас есть новая версия ПО для сервера, которую мы рекомендуем установить.",Консультация,D263120004,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Не включается,Ноутбук перестал включаться,Материнская плата,C223092664,Ноутбук
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Проблемы с НК2-1404 / Зарядное устройство перестало работать,Проблемы с НК2-1404 / Зарядное устройство перестало работать. Серийный номер C223100251.,Блок питания,C223100251,Ноутбук
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ноутбук СИЛА HK-1404,Экран отключается во время работы,Материнская плата,C223011480,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На нашем сервере возникла проблема с сетевым оборудованием.,SFP модуль,D252110012,Сервер
S124-HDD fault-E213120001,"Жесткий диск, замененный ранее, вышел из строя. Серийный номер устройства: E213120001.",Диск,E213120001,СХД
Заявка на гарантийный ремонт/замену,Добрый день. Серийный номер: С223013250. Проблема с блоком питания.,Блок питания,C223013250,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC на сервере с серийным номером D251110031 вентилятор начал работать неправильно.,Вентилятор,D251110031,Сервер
SJH-3456-12,"Накопитель, установленный вместо старого, неисправен.",Диск,E213120001,СХД
HK2-1404,"Доброго дня,

прошу організувати забір та обробку вашого запиту.",Корпус,C223010327,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал загружаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Проблемы с СХД,Несколько дисков вышли из строя и требуется замена.,Диск,CKM01212505744,СХД
Не включается,Ноутбук перестал включаться,Материнская плата,C223092664,Ноутбук
Ошибки диска,"Коллеги, добрый день.
Прошу открыть заявку и присвоить её номер...",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основного хранилища данных.",Диск,CKM01212505744,СХД
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532,Добрый день! Ноутбук СИЛА НК2-3404 - NTB48532 имеет проблему с матрицей.,Матрица,C223090552,Ноутбук
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Не работает ноутбук,Добрый день! Устройство C223013256 внезапно перестало включаться. На экране появляется сообщение об ошибке.,Материнская плата,C223013256,Ноутбук
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Ноутбук не включается,"Ноутбук не подает признаков жизни, индикаторы не светятся, нет реакции на нажатие кнопки питания.",Материнская плата,C223010076,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC на сервере D251110031 вентилятор начал работать с перебоями.,Вентилятор,D251110031,Сервер
S123456,Некорректная замена компонента привела к сбою в системе хранения данных.,Диск,E213120001,СХД
Проблемы с оборудованием,Добрый день! В прошлом году приобрели у вас ноутбук. Серийный номер C223012127.,Матрица,C223012127,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал загружаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Проблемы с СХД,Несколько дисков вышли из строя и требуется замена одного из них.,Диск,CKM01212505744,СХД
СИЛА НК2-3404  // мерцающая матрица,"Привет, коллеги. Мерцающие полосы у С...",Материнская плата,C223090123,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC в нашем сервере D251110031 начал барахлить вентилятор.,Вентилятор,D251110031,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СИЛА НК2-1404,"Добрый день, коллеги. Обнаружили деформацию крышки корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Ошибки диска,"Коллеги, добрый день.
Прошу открыть заявку и присвоить её номер...",Диск,CKM00194300974,Сервер
SJH-3456-12,"Диск, установленный вместо вышедшего из строя, перестал функционировать",Диск,E213120001,СХД
Ноутбук,Необходимо произвести модернизацию WiFi антенны,Wi-fi антенна,C223012938,Ноутбук
Ошибки диска,"Коллеги, добрый день. Прошу открыть заявку с серийным номером CKM00194300974 для сервера.",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с НК2-1404 / Зарядное устройство пере...,Неисправность блока питания,Блок питания,C223100251,Ноутбук
Обновление BIOS и BMC сервера,"Добрый день! Если были обновления этих компонентов, пожалуйста, сообщите серийный номер устройства.",Консультация,D263080001,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
НК2-1404 v2,Не работает зарядное устройство,Блок питания,C223100822,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC в нашем сервере возникли проблемы с вентилятором.,Вентилятор,D251110031,Сервер
SJH-3456-12,Замененный компонент после технического обслуживания...,Диск,E213120001,СХД
Драйвера для ноутбука,Доброго дня! Мы получили для тестирования один из последних образцов...,Консультация,C223090609,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал запускаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
BIOS'ы,"Добрый день! Хотелось бы узнать, как правильно обновить BIOS на моем ноутбуке с серийным номером C223010345?",Консультация,C223010345,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных компонентов.",Диск,CKM01212505744,СХД
Ноутбук,Устройство при запуске на 5-10% отвечает на любые команды и работает без сбоев.,Материнская плата,С112040045,Ноутбук
СР2-5422,Выявлены неполадки в функционировании системы охлаждения,Материнская плата,D251110010,Сервер
S123456,"Во время обслуживания была допущена ошибка, в результате которой был заменен неверный компонент. Это привело к сбою в работе системы хранения данных (СХД).",Диск,E213120001,СХД
Неисправность ноутбука,"Добрый день! Ноутбук СИЛА НК2-3404 - NTB49600 (Платформа) - Матрица, серийный номер C223090096.",Матрица,C223090096,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя после замены.",Диск,E213120001,СХД
Неисправность ноутбука,Добрый день! Ноутбук СИЛА НК2-3404 - NTB49600 (Платформа) - проблема с матрицей,Матрица,C223090096,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на нашем сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Ноутбук не включается,"Ноутбук не включается, вентилятор работает без остановки",Вентилятор,C223100275,Ноутбук
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Неисправность ноутбука,Добрый день! Ноутбук СИЛА НК2-3404 - NTB49600...,Матрица,C223090096,Ноутбук
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Не включается,Проблемы с запуском устройства,Материнская плата,C223092664,Ноутбук
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
HK2-1404,"Доброго дня,

прошу організувати забір техніки з точки відмови (корпус C223010327) - ноутбук, серийний номер C223010327.",Корпус,C223010327,Ноутбук
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Не включается,Проблемы с запуском устройства,Материнская плата,C223092664,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал запускаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Не включается SILA LLC HK2-3404,"Добрый день! Подскажите, пожалуйста, что могло бы быть причиной того, что мой ноутбук не включается?",Материнская плата,C223094534,Ноутбук
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
sila HK2-1404 c223014125 asset 7101087,Доброго дня! Прошу провести обслуживание ноутбука с серийным номером c223014125.,Материнская плата,c223014125,Ноутбук
СР2-5422,Добрый вечер! На сервере возникли системные ошибки...,Материнская плата,D251110041,Сервер
S12345,"Вышел из строя диск, полученный взамен по гарантии",Диск,E213120001,СХД
HK2- 1404,"Добрый день, залипание клавиш при печати F ...",Клавиатура,C223010731,Ноутбук
Ошибки диска,"Коллеги, добрый день. Прошу открыть заявку с серийным номером CKM00194300974 для сервера.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
Ноутбук,Добрый день! При подключении внешнего монитора к моему ноутбуку возникают проблемы с отображением изображения.,Материнская плата,C112050125,Ноутбук
СР2-5422,Обнаружены неполадки с кулером в серверной системе,Материнская плата,D251110010,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя после замены.",Диск,E213120001,СХД
Ноутбук,Необходимо произвести модернизацию WiFi антенны,Wi-fi антенна,C223012938,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Звук и микрофон не работают на ноутбуке,Не работают звук и микрофон на ноутбуке.,Материнская плата,c223012961,Ноутбук
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030014,Сервер
Проблемы с СХД,Вылетело несколько дисков и резервная копия была нарушена.,Диск,CKM01212505744,СХД
HK2-1404,Добрый день! Не функционирует один порт Type-C.,Материнская плата,C223012095,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
SLA-765 // Неисправность зарядного устройства,Доброго времени суток! В ходе использования моего ноутбука HP возникла проблема с зарядным устройством. При подключении к сети блок питания не подает достаточного напряжения для зарядки аккумулятора.,Блок питания,"C223011355, C223012685, C223011958",Ноутбук
Ошибки диска,"Добрый день, коллеги. Прошу открыть заявку с информацией о проблемах с диском на сервере.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
СИЛА НК2-3404  // мерцающая матрица,"Привет, коллеги. Мерцающие полосы у С...",Материнская плата,C223090123,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На нашем сервере возникла проблема с сетевым оборудованием.,SFP модуль,D252110012,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Не включается устройство,Не включается компьютер,Материнская плата,C223092664,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
НК2-1404,"Добрый день, вышли из строя зарядные устройства. Серийные номера следующие: C223012685, C223010230, C223010386.",Блок питания,"['C223012685', 'C223010230', 'C223010386']",Ноутбук
СР2-5422,Выявлены неполадки с кулером в системе охлаждения...,Материнская плата,D251110010,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя после замены.",Диск,E213120001,СХД
СИЛА НК2-1404//нет звука,Прошу предоставить информацию о ближайшем сервисном центре для ремонта ноутбука с серийным номером C222091827.,Консультация,C222091827,Ноутбук
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030014,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных компонентов.",Диск,CKM01212505744,СХД
Проблемы с оборудованием,"Добрый день! В прошлом году приобрели у вас ноутбук, серийный номер C223012127. Сейчас возникла проблема с матрицей.",Матрица,C223012127,Ноутбук
SLA-765,"Доброго времени суток! В ходе использования моего ноутбука я столкнулся с проблемой зарядки. Блок питания не функционирует должным образом, что препятствует нормальной зарядке аккумулятора.",Блок питания,"C223011355, C223012685, C223011958",Ноутбук
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030014,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
SLA-1404,Доброго дня! У нас возникают проблемы с работой...,Блок питания,"['C223011355', 'C223012685', 'C223011958']",Ноутбук
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления, тогда нужно проверить статус и выполнить необходимые действия.",Консультация,D263080001,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Ноутбук НК2-1404,"Добрый день, после ремонта ноутбука перестала работать клавиша F1.",Клавиатура,С223010731,Ноутбук
Ошибки диска,"Коллеги, добрый день.
Прошу открыть заявку и присвоить её номер...",Диск,CKM00194300974,Сервер
S123456,"Неисправность нового диска, установленного после...",Диск,E213120001,СХД
Ноутбук,"При подключении USB наушников, работа системы замедляется",Консультация,С111120102,Ноутбук
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Неисправность ноутбука,Добрый день! Ноутбук СИЛА НК2-3404 - NTB49600...,Матрица,C223090096,Ноутбук
СР2-5422,Обнаружены проблемы с вентилятором системы охлаждения,Материнская плата,D251110010,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
S12-567,Не удаётся зарядить аккумуляторную батарею,Блок питания,C223011088,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наша система сегодня вышла из строя. Мы подозреваем, что проблема связана с сервером.",Сервер,D252030019,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя после замены.",Диск,E213120001,СХД
Ноутбук SILHAO HK1-1425/ i5-1135G7/8G/m.2 256Gb/...,Не работает HDMI,Материнская плата,C111110003,Ноутбук
Проблемы с сервером СИЛА СР2-5422,"Добрый день. На нашем сервере возникла проблема с SFP модулем, серийный номер D252110012.",SFP модуль,D252110012,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
IBS. СИЛА хрипит левый динамик,Добрый день! На ноутбуке C111120016 хрипит левый динамик.,Динамики,C111120016,Ноутбук
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления, тогда необходимо проверить их наличие и установить.",Консультация,D263080001,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправности устройства хранения данных с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СИЛА НК2-1404,"Добрый день, коллеги. Обнаружили деформацию крышки корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
Ошибки диска,"Коллеги, добрый день. Прошу открыть заявку с серийным номером CKM00194300974 для сервера.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в системе хранения данных.",Диск,E213120001,СХД
Проблема с клавиатурой ноутбука,Добрый день! Перестали работать некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
СР2-5422,Обнаружены проблемы с системой охлаждения,Материнская плата,D251110010,Сервер
S123456,"Неисправность нового диска, установленного после...",Диск,E213120001,СХД
СИЛА НК2-3404  // мерцающая матрица,"Привет, коллеги. У меня на ноутбуке мерцают полосы у экрана...",Материнская плата,C223090123,Ноутбук
Неисправность сервера,"Модель: сервер CP2-5422, серийный номер: D2520...",Сервер,D252030021,Сервер
S124-HDD fault-E213120001,"Жесткий диск, замененный ранее, перестал функционировать...",Диск,E213120001,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
SX-1015-12,Замена накопителя в системе хранения данных,Диск,E213120001,СХД
Неисправность ноутбука,Добрый день! Ноутбук СИЛА НК2-3404 - NTB4...,Матрица,C223091227,Ноутбук
Проблемы с НК2-1404 / Зарядное устройство пере...,Неисправность блока питания,Блок питания,C223100251,Ноутбук
Проблемы с сервером,Добрый день. На нашем сервере возникли проблемы с оборудованием...,SFP модуль,D252110012,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Полосы на экране,"Полосы на экране могут возникать по различным причинам, включая проблемы с матрицей или видеокартой.",Матрица,C223090696,Ноутбук
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления, то стоит проверить статус сервера.",Консультация,D263080001,Сервер
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Проблемы с блоком питания,Блок питания не функционирует,Блок питания,С223092905,Ноутбук
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
HK2-1404,Перестал работать блок питания ноутбука.,Блок питания,C223100876,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Серийный номер устройства - D252030014.",Сервер,D252030014,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
СИЛА НК2-1404 // Не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не функционирует сетевой порт Ethernet.,Wi-fi модуль,С222090774,Ноутбук
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC материнская плата перестала загружаться.,Материнская плата,D251110015,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Полосы на экране ноутбука,Неисправность дисплея ноутбука.,Матрица,C223090893,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
НК2-1404 v2,Проблемы с зарядным устройством,Блок питания,C223100822,Ноутбук
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
HK2-1404,"Доброго дня,

прошу організувати забір техніки з точки відмови (корпус C223010327) - ноутбук.

Спасибі!",Корпус,C223010327,Ноутбук
СР2-5422,Выявлены неполадки с кулером в системе охлаждения...,Материнская плата,D251110010,Сервер
SJH-3456-12,"Замененный накопитель, который вышел из строя",Диск,E213120001,СХД
HK2-1404,Не работает зарядное устройство ноутбука.,Блок питания,C223100876,Ноутбук
СР2-5422,Выявлены неполадки в функционировании системы охлаждения,Материнская плата,D251110010,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Гарантия,"Укажите, пожалуйста, адрес ближайшего сервисного центра, где могут обслужить оборудование по гарантии.",Диск,С222091091,Ноутбук
Ошибки диска,"Коллеги, добрый день.",Диск,CKM00194300974,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
FW: Гарантийный случай,Добрый день! По одному из ноутбуков СИЛА Н...,Блок питания,C223014096,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наша система дала сбой. Мы подозреваем, что проблема связана с сервером.",Сервер,D252030019,Сервер
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Ноутбук,"Доброго дня, коллеги! У нас проблема с ноутбуком...",Матрица,C223013328,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал запускаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Проблемы с СХД,Несколько дисков вышли из строя и требуется замена одного из них.,Диск,CKM01212505744,СХД
Проблемы со звуком и микрофоном,Не функционируют звук и микрофон на ноутбуке.,Материнская плата,c223012961,Ноутбук
Ошибки диска,"Добрый день, коллеги. У нас возникли проблемы с диском...",Диск,CKM00194300974,Сервер
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
Ноутбук не включается,"Ноутбук не подает признаков жизни, индикаторы не светятся.",Материнская плата,C223010076,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения данных.",Диск,CKM01212505744,СХД
Проблема с клавиатурой ноутбука,Добрый день! Перестали работать некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
СР2-5422,Обнаружены неполадки в функционировании сервера...,Материнская плата,D251110010,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Не работает ноутбук,Добрый день! Устройство C223013256 внезапно перестало работать.,Материнская плата,C223013256,Ноутбук
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, пожалуйста, сообщите мне их номера.",Консультация,D263080001,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии данных.",Диск,CKM01212505744,СХД
Гарантийный ремонт ноутбука СИЛА НК2-1404 v2,Прошу принять в гарантийный ремонт ноутбук с проблемой с диском.,Диск,C223011138,Ноутбук
Ошибки диска,"Добрый день, коллеги. Прошу открыть заявку с информацией о проблемах с диском на сервере.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя из-за ошибки в прошивке.",Диск,E213120001,СХД
Заявка на гарантийный ремонт/замену,Добрый день. Серийный номер: С223013250. Проблема с блоком питания.,Блок питания,C223013250,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На сервере вышел из строя сетевой модуль SFP с серийным номером D252110012.,SFP модуль,D252110012,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Ноутбук,У ноутбука СИЛА НК2-1404 с серийным номером C222091115 возникли проблемы с диском.,Диск,C222091115,Ноутбук
